City Parish,Total,25 - 29 anos,30 - 34 anos,35 - 39 anos,40 - 44 anos,45 - 49 anos,50 - 54 anos,55 - 59 anos,60 - 64 anos,65 - 69 anos,70 - 74 anos,75 ou mais anos,sex,year,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Penha de França,50.89,73.47,76.68,77.11,77.80,78.33,73.45,70.11,49.97,18.03,4.87,1.26,HM,2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2021
Santa Clara,47.87,62.11,66.54,72.22,75.47,74.03,68.14,62.97,47.10,17.95,4.61,1.06,HM,2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2021
Santa Maria Maior,49.76,67.68,66.34,69.67,69.67,71.16,62.66,61.85,49.04,23.11,6.32,1.81,HM,2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2021
Santo António,54.57,75.71,83.51,83.70,81.64,79.73,76.89,70.22,56.14,26.34,9.36,3.44,HM,2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2021
São Domingos de Benfica,52.12,79.36,85.87,86.08,85.16,85.07,80.92,75.85,61.57,27.63,8.35,3.41,HM,2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2021
São Vicente,51.87,75.95,79.73,77.12,75.94,78.31,70.53,69.40,49.93,20.85,5.53,1.61,HM,2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2021
Algueirão-Mem Martins,55.21,76.03,80.31,80.76,81.19,82.39,79.40,72.15,50.83,15.47,3.74,1.05,HM,2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2021
Casal de Cambra,54.75,76.34,77.74,82.10,82.20,82.36,76,69.84,46.83,18.57,3.63,1.33,HM,2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2021
Colares,48.55,74.86,82.70,80.21,81.27,79.37,76.94,69.65,51.43,21.34,6.46,2.16,HM,2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2021
Rio de Mouro,56.11,75.59,80.38,82.41,81.29,82.15,80.11,70.34,50.71,18.01,4.12,1.08,HM,2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2021
