City Parish,Total,25 - 29 anos,30 - 34 anos,35 - 39 anos,40 - 44 anos,45 - 49 anos,50 - 54 anos,55 - 59 anos,60 - 64 anos,65 - 69 anos,70 - 74 anos,75 ou mais anos,sex,year,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
São Domingos de Benfica,49.38,80.96,87.97,84.67,82.98,85.10,79.72,76,60.50,23.06,4.43,1.59,M,2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
São Vicente,48.55,74.53,78.84,78.47,75.05,81.26,71.46,67.36,53.87,19.84,4.02,0.79,M,2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Algueirão-Mem Martins,52.73,75.90,77.73,76.73,79.82,79.80,77.20,70.37,48.62,13.83,2.64,0.54,M,2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Casal de Cambra,52.27,75.28,76.16,79.67,78.39,77,72.91,67.21,44.96,15.05,2.46,0.97,M,2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Colares,44.83,75.88,80.57,75.10,80.08,77.57,73.47,67.11,46.12,17.65,4.71,1.03,M,2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rio de Mouro,53.29,74.15,76.57,78.37,77.86,78.79,76.38,67.95,49.54,15.26,2.79,0.61,M,2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
União das freguesias de Agualva e Mira-Sintra,48.55,72.25,74.95,76.43,75.97,77.90,75.35,69.41,46.54,13.41,1.37,0.77,M,2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"União das freguesias de Almargem do Bispo, Pêro Pinheiro e Montelavar",47.73,77.51,81.74,79.82,79.06,81.80,72.20,63.65,43,16.60,3.86,0.86,M,2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
União das freguesias de Massamá e Monte Abraão,50.43,74.34,76.80,75.73,78.19,78.77,77.71,69.08,52,14.73,2.79,0.85,M,2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
União das freguesias de Queluz e Belas,50.75,71.62,76.24,77.11,79.23,78.98,75.07,67.21,49.88,15.50,2.23,0.74,M,2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
União das freguesias de São João das Lampas e Terrugem,47.21,77.14,75.63,78.11,78.62,79.39,72.50,65.69,43.25,14.23,3.14,0.65,M,2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"União das freguesias de Sintra (Santa Maria e São Miguel, São Martinho e São Pedro de Penaferrim)",49.31,76.46,79.71,80.09,79.03,78.44,75.60,66.98,51.46,17.25,3.54,0.76,M,2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
União das freguesias do Cacém e São Marcos,55.77,76.11,75.62,77.07,80.22,79.79,77.16,69.58,47.56,14.59,1.24,0.84,M,2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
